Current Projection,Party,State,Path,Name,Electoral Votes,Fixed Electoral,Value in %,X,X Adjusted,X for Text,Y,Y Adjusted
Republican,Republican,AK,0,Alaska,3,3,0.6%,407.426208496,507.426208496,507.426208496,458.436767578,554.436767578
Republican,Republican,AK,1,Alaska,3,3,0.6%,407.666320801,507.666320801,507.666320801,457.843322754,553.843322754
Republican,Republican,AK,2,Alaska,3,3,0.6%,407.906433105,507.906433105,507.906433105,457.249908447,553.249908447
Republican,Republican,AK,3,Alaska,3,3,0.6%,408.146545410,508.146545410,508.146545410,456.656494141,552.656494141
Republican,Republican,AK,4,Alaska,3,3,0.6%,408.386657715,508.386657715,508.386657715,456.063049316,552.063049316
Republican,Republican,AK,5,Alaska,3,3,0.6%,408.626770020,508.626770020,508.626770020,455.469604492,551.469604492
Republican,Republican,AK,6,Alaska,3,3,0.6%,408.866882324,508.866882324,508.866882324,454.876190186,550.876190186
Republican,Republican,AK,7,Alaska,3,3,0.6%,409.107025146,509.107025146,509.107025146,454.282745361,550.282745361
Republican,Republican,AK,8,Alaska,3,3,0.6%,409.347137451,509.347137451,509.347137451,453.689331055,549.689331055
Republican,Republican,AK,9,Alaska,3,3,0.6%,409.587249756,509.587249756,509.587249756,453.095886230,549.095886230
Republican,Republican,AK,10,Alaska,3,3,0.6%,409.827362061,509.827362061,509.827362061,452.502471924,548.502471924
Republican,Republican,AK,11,Alaska,3,3,0.6%,410.067474365,510.067474365,510.067474365,451.909027100,547.909027100
Republican,Republican,AK,12,Alaska,3,3,0.6%,410.307586670,510.307586670,510.307586670,451.315612793,547.315612793
Republican,Republican,AK,13,Alaska,3,3,0.6%,410.547698975,510.547698975,510.547698975,450.722167969,546.722167969
Republican,Republican,AK,14,Alaska,3,3,0.6%,410.787811279,510.787811279,510.787811279,450.128753662,546.128753662
Republican,Republican,AK,15,Alaska,3,3,0.6%,411.027954102,511.027954102,511.027954102,449.535308838,545.535308838
Republican,Republican,AK,16,Alaska,3,3,0.6%,411.268066406,511.268066406,511.268066406,448.941894531,544.941894531
Republican,Republican,AK,17,Alaska,3,3,0.6%,411.508178711,511.508178711,511.508178711,448.348449707,544.348449707
Republican,Republican,AK,18,Alaska,3,3,0.6%,411.748291016,511.748291016,511.748291016,447.755035400,543.755035400
Republican,Republican,AK,19,Alaska,3,3,0.6%,411.988403320,511.988403320,511.988403320,447.161590576,543.161590576
Republican,Republican,AK,20,Alaska,3,3,0.6%,412.228515625,512.228515625,512.228515625,446.568176270,542.568176270
Republican,Republican,AK,21,Alaska,3,3,0.6%,412.468627930,512.468627930,512.468627930,445.974731445,541.974731445
Republican,Republican,AK,22,Alaska,3,3,0.6%,412.708740234,512.708740234,512.708740234,445.381317139,541.381317139
Republican,Republican,AK,23,Alaska,3,3,0.6%,412.948852539,512.948852539,512.948852539,444.787872314,540.787872314
Republican,Republican,AK,24,Alaska,3,3,0.6%,413.188964844,513.188964844,513.188964844,444.194458008,540.194458008
Republican,Republican,AK,25,Alaska,3,3,0.6%,413.429107666,513.429107666,513.429107666,443.601013184,539.601013184
Republican,Republican,AK,26,Alaska,3,3,0.6%,413.669219971,513.669219971,513.669219971,443.007568359,539.007568359
Republican,Republican,AK,27,Alaska,3,3,0.6%,413.909332275,513.909332275,513.909332275,442.414154053,538.414154053
Republican,Republican,AK,28,Alaska,3,3,0.6%,414.149444580,514.149444580,514.149444580,441.820739746,537.820739746
Republican,Republican,AK,29,Alaska,3,3,0.6%,414.389556885,514.389556885,514.389556885,441.227294922,537.227294922
Republican,Republican,AK,30,Alaska,3,3,0.6%,414.629669189,514.629669189,514.629669189,440.633850098,536.633850098
Republican,Republican,AK,31,Alaska,3,3,0.6%,414.869781494,514.869781494,514.869781494,440.040435791,536.040435791
Republican,Republican,AK,32,Alaska,3,3,0.6%,415.109893799,515.109893799,515.109893799,439.447021484,535.447021484
Republican,Republican,AK,33,Alaska,3,3,0.6%,415.350006104,515.350006104,515.350006104,438.853576660,534.853576660
Republican,Republican,AK,34,Alaska,3,3,0.6%,415.590148926,515.590148926,515.590148926,438.260131836,534.260131836
Republican,Republican,AK,35,Alaska,3,3,0.6%,415.830261230,515.830261230,515.830261230,437.666717529,533.666717529
Republican,Republican,AK,36,Alaska,3,3,0.6%,416.070373535,516.070373535,516.070373535,437.073272705,533.073272705
Republican,Republican,AK,37,Alaska,3,3,0.6%,416.310485840,516.310485840,516.310485840,436.479858398,532.479858398
